Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Country_Grouped,Academic_Harm_Binary,Mental_Health_Harm_Component,Sleep_Harm_Component,Conflict_Harm_Component,Addiction_Harm_Component,Harm_Index,Harm_Index_100,Cluster_ID,Persona
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,Other,0,2,0.7999999999999998,1,4,-1.3754549787031245,22.750408672269334,3,The Balanced User
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,Other,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,Other,0,3,1.2000000000000002,2,5,-0.63086628649339,39.84697343945139,1,The Quiet Addict
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7,Other,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,Other,1,5,2.7,4,8,1.1644524976915296,81.06944188772357,0,The Doomscroller
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Other,0,2,0.7000000000000002,1,4,-1.3954234742012153,22.291910335995745,3,The Balanced User
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5,Other,0,3,1.0,2,5,-0.670803277489572,38.9299767669042,1,The Quiet Addict
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,Other,1,5,2.8,4,9,1.3507829244684346,85.34779078399006,0,The Doomscroller
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,Other,0,2,0.9000000000000004,1,4,-1.3554864832050333,23.208907008542933,3,The Balanced User
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,Other,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,Other,0,3,1.4000000000000004,2,6,-0.42456736421839386,44.58382067199149,1,The Quiet Addict
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,Other,0,2,0.7999999999999998,1,4,-1.3754549787031245,22.750408672269334,3,The Balanced User
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,Other,1,5,2.7,4,8,1.1644524976915296,81.06944188772357,0,The Doomscroller
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,Other,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,Other,0,2,0.7000000000000002,1,4,-1.3954234742012153,22.291910335995745,3,The Balanced User
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7,Other,1,4,2.0,3,7,0.35995831898752223,62.59738211172072,2,The Social Warrior
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,Other,1,5,2.8,4,9,1.3507829244684346,85.34779078399006,0,The Doomscroller
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,Other,0,3,1.0,2,5,-0.670803277489572,38.9299767669042,1,The Quiet Addict
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,Other,0,3,1.5,2,6,-0.404598868720303,45.042319008265075,1,The Quiet Addict
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,Other,0,2,0.5999999999999996,1,4,-1.4153919696993063,21.833411999722145,3,The Balanced User
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,Other,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,Other,1,5,2.7,4,8,1.1644524976915296,81.06944188772357,0,The Doomscroller
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,Other,0,2,0.9000000000000004,1,4,-1.3554864832050333,23.208907008542933,3,The Balanced User
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,Other,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,Other,1,5,2.8,4,9,1.3507829244684346,85.34779078399006,0,The Doomscroller
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,Other,0,2,0.7000000000000002,1,4,-1.3954234742012153,22.291910335995745,3,The Balanced User
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,Other,0,3,1.0,2,5,-0.670803277489572,38.9299767669042,1,The Quiet Addict
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,Pakistan,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,Nepal,0,3,1.4000000000000004,2,6,-0.42456736421839386,44.58382067199149,1,The Quiet Addict
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,Other,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,Sri Lanka,0,2,0.7999999999999998,1,4,-1.3754549787031245,22.750408672269334,3,The Balanced User
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,Maldives,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,Bangladesh,1,5,1.7999999999999998,4,8,0.9847360382087105,76.94295686126121,0,The Doomscroller
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,India,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,Nepal,0,3,0.9000000000000004,2,5,-0.690771772987663,38.471478430630604,1,The Quiet Addict
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,Pakistan,1,5,2.0,4,8,1.0246730292048924,77.8599535338084,0,The Doomscroller
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,Sri Lanka,1,4,1.7000000000000002,3,7,0.3000528324932493,61.22188710289994,2,The Social Warrior
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,Maldives,0,2,0.7999999999999998,2,5,-0.9435649014435626,32.66707374578551,1,The Quiet Addict
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,Bangladesh,1,5,2.2,4,8,1.0646100202010746,78.7769502063556,0,The Doomscroller
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,India,1,4,1.9000000000000004,3,7,0.33998982348943135,62.13888377544713,2,The Social Warrior
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,Nepal,0,3,0.7000000000000002,2,5,-0.730708763983845,37.554481758083405,1,The Quiet Addict
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,Pakistan,1,5,1.7999999999999998,4,8,0.9847360382087105,76.94295686126121,0,The Doomscroller
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,Sri Lanka,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,Maldives,0,2,0.5999999999999996,2,5,-0.9835018924397445,31.75007707323832,1,The Quiet Addict
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,Bangladesh,1,5,1.7000000000000002,4,8,0.9647675427106196,76.4844585249876,0,The Doomscroller
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,India,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,Nepal,0,3,0.5,2,5,-0.770645754980027,36.63748508553621,1,The Quiet Addict
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,Pakistan,1,5,1.5999999999999996,4,8,0.9447990472125285,76.02596018871401,0,The Doomscroller
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,Sri Lanka,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,Maldives,0,2,0.40000000000000036,2,5,-1.0234388834359265,30.83308040069113,1,The Quiet Addict
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,Bangladesh,1,5,1.5,4,8,0.9248305517144376,75.5674618524404,0,The Doomscroller
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,India,1,4,2.4000000000000004,3,7,0.4398323009798863,64.4313754568151,2,The Social Warrior
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,Nepal,0,3,0.2999999999999998,2,5,-0.8105827459762089,35.72048841298903,1,The Quiet Addict
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,Pakistan,1,5,1.4000000000000004,4,8,0.9048620562163466,75.10896351616681,2,The Social Warrior
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,Sri Lanka,1,4,2.5,3,7,0.45980079647797717,64.8898737930887,2,The Social Warrior
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,Maldives,0,2,0.20000000000000018,2,5,-1.0633758744321085,29.91608372814394,1,The Quiet Addict
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,Bangladesh,1,5,1.2999999999999998,4,8,0.8848935607182555,74.65046517989322,2,The Social Warrior
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,India,1,4,2.5999999999999996,3,7,0.4797692919760681,65.3483721293623,2,The Social Warrior
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,Nepal,0,3,0.09999999999999964,2,5,-0.850519736972391,34.803491740441835,1,The Quiet Addict
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,Pakistan,1,5,1.2000000000000002,4,8,0.8649250652201647,74.19196684361962,2,The Social Warrior
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,Sri Lanka,1,4,2.7,3,7,0.4997377874741592,65.8068704656359,2,The Social Warrior
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,Maldives,0,2,0.0,2,5,-1.1033128654282904,28.999087055596746,1,The Quiet Addict
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,Bangladesh,1,5,1.0999999999999996,4,8,0.8449565697220736,73.73346850734603,2,The Social Warrior
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,India,1,4,2.8,3,7,0.5197062829722501,66.2653688019095,2,The Social Warrior
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,Nepal,0,3,-0.09999999999999964,2,5,-0.8904567279685728,33.88649506789464,1,The Quiet Addict
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,Pakistan,1,5,1.0,4,8,0.8249880742239827,73.27497017107243,2,The Social Warrior
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,Sri Lanka,1,4,2.9000000000000004,3,7,0.5396747784703412,66.7238671381831,2,The Social Warrior
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,Maldives,0,2,-0.1999999999999993,2,5,-1.1432498564244724,28.08209038304955,3,The Balanced User
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,Bangladesh,1,5,0.9000000000000004,4,8,0.8050195787258918,72.81647183479883,2,The Social Warrior
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,India,1,4,3.0,3,7,0.5596432739684322,67.18236547445669,2,The Social Warrior
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,Nepal,0,3,-0.3000000000000007,2,5,-0.930393718964755,32.96949839534745,1,The Quiet Addict
